store_id,merchant_id,server_id,customer_id,acq_channel,signup_month,country
M001-ST1,M001,S03,C000001,merchant-referral,2020-12,MY
M001-ST1,M001,S03,C000002,paid-social,2020-12,MY
M001-ST1,M001,S03,C000003,organic,2021-03,MY
M001-ST1,M001,S03,C000004,promo,2021-04,MY
M001-ST1,M001,S03,C000005,promo,2021-05,MY
M001-ST1,M001,S03,C000006,organic,2021-05,MY
M001-ST1,M001,S03,C000007,promo,2021-05,MY
M001-ST1,M001,S03,C000008,merchant-referral,2021-05,MY
M001-ST1,M001,S03,C000009,organic,2021-05,MY
M001-ST1,M001,S03,C000010,merchant-referral,2021-05,MY
M001-ST1,M001,S03,C000011,organic,2021-06,MY
M001-ST1,M001,S03,C000012,promo,2021-06,MY
M001-ST1,M001,S03,C000013,organic,2021-08,MY
M001-ST1,M001,S03,C000014,organic,2021-08,MY
M001-ST1,M001,S03,C000015,organic,2021-10,MY
M001-ST1,M001,S03,C000016,merchant-referral,2021-10,MY
M001-ST1,M001,S03,C000017,merchant-referral,2021-11,MY
M001-ST1,M001,S03,C000018,merchant-referral,2021-11,MY
M001-ST1,M001,S03,C000019,paid-social,2021-11,MY
M001-ST1,M001,S03,C000020,merchant-referral,2021-12,MY
M001-ST1,M001,S03,C000021,merchant-referral,2021-12,MY
M001-ST1,M001,S03,C000022,organic,2021-12,MY
M001-ST1,M001,S03,C000023,promo,2022-01,MY
M001-ST1,M001,S03,C000024,organic,2022-02,MY
M001-ST1,M001,S03,C000025,merchant-referral,2022-02,MY
M001-ST1,M001,S03,C000026,paid-social,2022-02,MY
M001-ST1,M001,S03,C000027,promo,2022-03,MY
M001-ST1,M001,S03,C000028,organic,2022-04,MY
M001-ST1,M001,S03,C000029,merchant-referral,2022-04,MY
M001-ST1,M001,S03,C000030,organic,2022-04,MY
M001-ST1,M001,S03,C000031,merchant-referral,2022-05,MY
M001-ST1,M001,S03,C000032,merchant-referral,2022-05,MY
M001-ST1,M001,S03,C000033,merchant-referral,2022-05,MY
M001-ST1,M001,S03,C000034,organic,2022-05,MY
M001-ST1,M001,S03,C000035,promo,2022-05,MY
M001-ST1,M001,S03,C000036,organic,2022-06,MY
M001-ST1,M001,S03,C000037,merchant-referral,2022-06,MY
M001-ST1,M001,S03,C000038,organic,2022-06,MY
M001-ST1,M001,S03,C000039,promo,2022-06,MY
M001-ST1,M001,S03,C000040,organic,2022-07,MY
M001-ST1,M001,S03,C000041,merchant-referral,2022-07,MY
M001-ST1,M001,S03,C000042,promo,2022-08,MY
M001-ST1,M001,S03,C000043,merchant-referral,2022-08,MY
M001-ST1,M001,S03,C000044,merchant-referral,2022-08,MY
M001-ST1,M001,S03,C000045,paid-social,2022-09,MY
M001-ST1,M001,S03,C000046,paid-social,2022-09,MY
M001-ST1,M001,S03,C000047,organic,2022-10,MY
M001-ST1,M001,S03,C000048,merchant-referral,2022-10,MY
M001-ST1,M001,S03,C000049,organic,2022-10,MY
M001-ST1,M001,S03,C000050,organic,2022-10,MY
M001-ST1,M001,S03,C000051,organic,2022-11,MY
M001-ST1,M001,S03,C000052,promo,2022-11,MY
M001-ST1,M001,S03,C000053,paid-social,2022-12,MY
M001-ST1,M001,S03,C000054,promo,2022-12,MY
M001-ST1,M001,S03,C000055,organic,2022-12,MY
M001-ST1,M001,S03,C000056,organic,2023-02,MY
M001-ST1,M001,S03,C000057,paid-social,2023-03,MY
M001-ST1,M001,S03,C000058,merchant-referral,2023-03,MY
M001-ST1,M001,S03,C000059,paid-social,2023-04,MY
M001-ST1,M001,S03,C000060,organic,2023-04,MY
M001-ST1,M001,S03,C000061,organic,2023-04,MY
M001-ST1,M001,S03,C000062,merchant-referral,2023-05,MY
M001-ST1,M001,S03,C000063,paid-social,2023-06,MY
M001-ST1,M001,S03,C000064,organic,2023-06,MY
M001-ST1,M001,S03,C000065,merchant-referral,2023-06,MY
M001-ST1,M001,S03,C000066,promo,2023-06,MY
M001-ST1,M001,S03,C000067,organic,2023-07,MY
M001-ST1,M001,S03,C000068,organic,2023-08,MY
M001-ST1,M001,S03,C000069,paid-social,2023-09,MY
M001-ST1,M001,S03,C000070,organic,2023-09,MY
M001-ST1,M001,S03,C000071,merchant-referral,2023-10,MY
M001-ST1,M001,S03,C000072,organic,2023-10,MY
M001-ST1,M001,S03,C000073,paid-social,2023-11,MY
M001-ST1,M001,S03,C000074,merchant-referral,2023-11,MY
M001-ST1,M001,S03,C000075,paid-social,2023-11,MY
M001-ST1,M001,S03,C000076,promo,2023-11,MY
M001-ST1,M001,S03,C000077,promo,2023-12,MY
M001-ST1,M001,S03,C000078,organic,2023-12,MY
M001-ST1,M001,S03,C000079,merchant-referral,2023-12,MY
M001-ST1,M001,S03,C000080,organic,2023-12,MY
M001-ST1,M001,S03,C000081,merchant-referral,2023-12,MY
M001-ST1,M001,S03,C000082,paid-social,2024-01,MY
M001-ST1,M001,S03,C000083,organic,2024-01,MY
M001-ST1,M001,S03,C000084,organic,2024-01,MY
M001-ST1,M001,S03,C000085,organic,2024-01,MY
M001-ST1,M001,S03,C000086,merchant-referral,2024-02,MY
M001-ST1,M001,S03,C000087,paid-social,2024-03,MY
M001-ST1,M001,S03,C000088,merchant-referral,2024-03,MY
M001-ST1,M001,S03,C000089,promo,2024-03,MY
M001-ST1,M001,S03,C000090,organic,2024-04,MY
M001-ST1,M001,S03,C000091,organic,2024-04,MY
M001-ST1,M001,S03,C000092,organic,2024-05,MY
M001-ST1,M001,S03,C000093,organic,2024-05,MY
M001-ST1,M001,S03,C000094,promo,2024-06,MY
M001-ST1,M001,S03,C000095,promo,2024-06,MY
M001-ST1,M001,S03,C000096,organic,2024-06,MY
M001-ST1,M001,S03,C000097,merchant-referral,2024-07,MY
M001-ST1,M001,S03,C000098,merchant-referral,2024-08,MY
M001-ST1,M001,S03,C000099,paid-social,2024-08,MY
M002-ST1,M002,S01,C000100,organic,2021-05,SG
M002-ST1,M002,S01,C000101,organic,2021-07,SG
M002-ST1,M002,S01,C000102,organic,2021-08,SG
M002-ST1,M002,S01,C000103,organic,2021-09,SG
M002-ST1,M002,S01,C000104,organic,2021-10,SG
M002-ST1,M002,S01,C000105,paid-social,2021-10,SG
M003-ST1,M003,S03,C000106,paid-social,2020-06,MY
M003-ST1,M003,S03,C000107,merchant-referral,2020-06,MY
M003-ST1,M003,S03,C000108,promo,2020-06,MY
M003-ST1,M003,S03,C000109,merchant-referral,2020-06,MY
M003-ST1,M003,S03,C000110,merchant-referral,2020-07,MY
M003-ST1,M003,S03,C000111,paid-social,2020-07,MY
M003-ST1,M003,S03,C000112,paid-social,2020-07,MY
M003-ST1,M003,S03,C000113,organic,2020-08,MY
M003-ST1,M003,S03,C000114,promo,2020-08,MY
M003-ST1,M003,S03,C000115,organic,2020-08,MY
M003-ST1,M003,S03,C000116,organic,2020-08,MY
M003-ST1,M003,S03,C000117,organic,2020-08,MY
M003-ST1,M003,S03,C000118,merchant-referral,2020-08,MY
M003-ST1,M003,S03,C000119,organic,2020-08,MY
M003-ST1,M003,S03,C000120,paid-social,2020-08,MY
M003-ST1,M003,S03,C000121,merchant-referral,2020-08,MY
M003-ST1,M003,S03,C000122,organic,2020-08,MY
M003-ST1,M003,S03,C000123,promo,2020-08,MY
M003-ST1,M003,S03,C000124,promo,2020-09,MY
M003-ST1,M003,S03,C000125,promo,2020-09,MY
M003-ST1,M003,S03,C000126,organic,2020-09,MY
M003-ST1,M003,S03,C000127,organic,2020-10,MY
M003-ST1,M003,S03,C000128,organic,2020-10,MY
M003-ST1,M003,S03,C000129,promo,2020-10,MY
M003-ST1,M003,S03,C000130,organic,2020-10,MY
M003-ST1,M003,S03,C000131,organic,2020-10,MY
M003-ST1,M003,S03,C000132,merchant-referral,2020-11,MY
M003-ST1,M003,S03,C000133,organic,2020-11,MY
M003-ST1,M003,S03,C000134,merchant-referral,2020-11,MY
M003-ST1,M003,S03,C000135,merchant-referral,2020-11,MY
M003-ST1,M003,S03,C000136,organic,2020-11,MY
M003-ST1,M003,S03,C000137,paid-social,2020-12,MY
M003-ST1,M003,S03,C000138,merchant-referral,2020-12,MY
M003-ST1,M003,S03,C000139,merchant-referral,2020-12,MY
M003-ST1,M003,S03,C000140,promo,2020-12,MY
M003-ST1,M003,S03,C000141,merchant-referral,2020-12,MY
M003-ST1,M003,S03,C000142,organic,2020-12,MY
M003-ST1,M003,S03,C000143,merchant-referral,2020-12,MY
M003-ST1,M003,S03,C000144,paid-social,2020-12,MY
M003-ST1,M003,S03,C000145,paid-social,2020-12,MY
M003-ST1,M003,S03,C000146,organic,2020-12,MY
