sku_id,owner,merchant_id,category,product_line,list_price,unit_cost
P-T-S-001,platform,,Apparel,T-shirt,27.83,16.83
P-T-S-002,platform,,Apparel,T-shirt,28.64,16.73
P-T-S-003,platform,,Apparel,T-shirt,21.3,11.97
P-T-S-004,platform,,Apparel,T-shirt,27.71,15.99
P-T-S-005,platform,,Apparel,T-shirt,21.63,13.06
P-T-S-006,platform,,Apparel,T-shirt,23.96,13.56
P-T-S-007,platform,,Apparel,T-shirt,26.58,15.26
P-T-S-008,platform,,Apparel,T-shirt,24.66,15.33
P-T-S-009,platform,,Apparel,T-shirt,25.72,16.33
P-T-S-010,platform,,Apparel,T-shirt,28.35,16.71
P-T-S-011,platform,,Apparel,T-shirt,27.68,16.93
P-T-S-012,platform,,Apparel,T-shirt,29.72,16.9
P-HOO-001,platform,,Apparel,Hoodie,60.39,38.84
P-HOO-002,platform,,Apparel,Hoodie,53.91,35.29
P-HOO-003,platform,,Apparel,Hoodie,47.41,28.73
P-HOO-004,platform,,Apparel,Hoodie,59.69,34.89
P-HOO-005,platform,,Apparel,Hoodie,50.98,32.11
P-HOO-006,platform,,Apparel,Hoodie,53.97,34.74
P-HOO-007,platform,,Apparel,Hoodie,46.9,29.16
P-HOO-008,platform,,Apparel,Hoodie,48.92,29.7
P-CAP-001,platform,,Apparel,Cap,18.45,10.19
P-CAP-002,platform,,Apparel,Cap,20.34,12.12
P-CAP-003,platform,,Apparel,Cap,21.29,11.8
P-CAP-004,platform,,Apparel,Cap,18.09,10.81
P-CAP-005,platform,,Apparel,Cap,20.21,12.33
P-CAP-006,platform,,Apparel,Cap,16.74,10.4
P-MUG-001,platform,,Drinkware,Mug,17.47,9.35
P-MUG-002,platform,,Drinkware,Mug,16.98,8.91
P-MUG-003,platform,,Drinkware,Mug,15.5,8.43
P-MUG-004,platform,,Drinkware,Mug,13.59,7.95
P-MUG-005,platform,,Drinkware,Mug,16.76,9.26
P-MUG-006,platform,,Drinkware,Mug,16.14,8.49
P-MUG-007,platform,,Drinkware,Mug,16.56,9.03
P-MUG-008,platform,,Drinkware,Mug,16.11,9.14
P-MUG-009,platform,,Drinkware,Mug,12.93,7.19
P-MUG-010,platform,,Drinkware,Mug,14.04,7.84
P-TUM-001,platform,,Drinkware,Tumbler,33.36,20.73
P-TUM-002,platform,,Drinkware,Tumbler,24.45,15.1
P-TUM-003,platform,,Drinkware,Tumbler,27.09,15.9
P-TUM-004,platform,,Drinkware,Tumbler,30.04,17.34
P-TUM-005,platform,,Drinkware,Tumbler,31.24,18.98
P-TUM-006,platform,,Drinkware,Tumbler,32.92,20.63
P-BOT-001,platform,,Drinkware,Bottle,18.9,11.79
P-BOT-002,platform,,Drinkware,Bottle,25.06,14.86
P-BOT-003,platform,,Drinkware,Bottle,20.12,11.87
P-BOT-004,platform,,Drinkware,Bottle,20.04,11.5
P-BOT-005,platform,,Drinkware,Bottle,22.63,13.57
P-BOT-006,platform,,Drinkware,Bottle,21.35,12.37
P-NOT-001,platform,,Stationery,Notebook,11.94,7.12
P-NOT-002,platform,,Stationery,Notebook,10.77,5.59
P-NOT-003,platform,,Stationery,Notebook,14.56,7.9
P-NOT-004,platform,,Stationery,Notebook,11.48,5.95
P-NOT-005,platform,,Stationery,Notebook,13.94,7.54
P-NOT-006,platform,,Stationery,Notebook,12.36,7.17
P-NOT-007,platform,,Stationery,Notebook,10.66,5.59
P-NOT-008,platform,,Stationery,Notebook,12.39,7.26
P-STI-001,platform,,Stationery,Sticker pack,5.83,2.57
P-STI-002,platform,,Stationery,Sticker pack,5.52,2.27
P-STI-003,platform,,Stationery,Sticker pack,6.92,2.95
P-STI-004,platform,,Stationery,Sticker pack,6.14,2.68
P-STI-005,platform,,Stationery,Sticker pack,6.5,2.82
P-STI-006,platform,,Stationery,Sticker pack,5.3,2.43
P-PEN-001,platform,,Stationery,Pen set,7.8,4.06
P-PEN-002,platform,,Stationery,Pen set,8.84,4.9
P-PEN-003,platform,,Stationery,Pen set,8.02,4.1
P-PEN-004,platform,,Stationery,Pen set,8.26,3.96
P-CUS-001,platform,,Home,Cushion,32.47,20.82
P-CUS-002,platform,,Home,Cushion,32.59,21.68
P-CUS-003,platform,,Home,Cushion,37.0,23.36
P-CUS-004,platform,,Home,Cushion,34.89,23.06
P-CUS-005,platform,,Home,Cushion,31.34,19.77
P-POS-001,platform,,Home,Poster,24.5,12.07
P-POS-002,platform,,Home,Poster,20.79,10.88
P-POS-003,platform,,Home,Poster,19.65,9.78
P-POS-004,platform,,Home,Poster,20.51,11.24
P-POS-005,platform,,Home,Poster,23.61,10.87
P-POS-006,platform,,Home,Poster,18.12,8.96
P-POS-007,platform,,Home,Poster,17.87,8.63
P-POS-008,platform,,Home,Poster,19.25,9.32
P-BLA-001,platform,,Home,Blanket,66.17,41.77
P-BLA-002,platform,,Home,Blanket,51.8,32.16
P-BLA-003,platform,,Home,Blanket,54.64,37.29
P-BLA-004,platform,,Home,Blanket,62.17,40.97
P-TOT-001,platform,,Bags,Tote,22.46,12.21
P-TOT-002,platform,,Bags,Tote,18.56,9.86
P-TOT-003,platform,,Bags,Tote,18.36,10.44
P-TOT-004,platform,,Bags,Tote,18.1,9.64
P-TOT-005,platform,,Bags,Tote,17.4,10.6
P-TOT-006,platform,,Bags,Tote,19.46,10.27
P-BAC-001,platform,,Bags,Backpack,74.81,46.54
P-BAC-002,platform,,Bags,Backpack,74.79,45.75
P-BAC-003,platform,,Bags,Backpack,65.57,42.83
P-BAC-004,platform,,Bags,Backpack,71.85,45.15
P-POU-001,platform,,Bags,Pouch,10.99,6.24
P-POU-002,platform,,Bags,Pouch,12.64,6.98
P-POU-003,platform,,Bags,Pouch,13.47,7.47
P-POU-004,platform,,Bags,Pouch,9.89,4.93
P-POU-005,platform,,Bags,Pouch,10.02,5.61
M001-BOT-01,merchant,M001,Drinkware,Bottle,26.18,12.96
M001-POS-02,merchant,M001,Home,Poster,30.64,13.3
M001-T-S-03,merchant,M001,Apparel,T-shirt,29.29,14.45
M001-POS-04,merchant,M001,Home,Poster,31.57,14.28
M001-CAP-05,merchant,M001,Apparel,Cap,24.8,12.34
M001-POS-06,merchant,M001,Home,Poster,29.36,12.36
M001-CUS-07,merchant,M001,Home,Cushion,37.62,21.02
M002-CUS-01,merchant,M002,Home,Cushion,42.57,24.38
M002-TOT-02,merchant,M002,Bags,Tote,26.8,13.34
M002-TOT-03,merchant,M002,Bags,Tote,23.99,11.88
M002-HOO-04,merchant,M002,Apparel,Hoodie,71.72,38.89
M002-POU-05,merchant,M002,Bags,Pouch,16.34,7.53
M002-MUG-06,merchant,M002,Drinkware,Mug,19.52,9.75
M002-NOT-07,merchant,M002,Stationery,Notebook,17.65,7.92
M002-POU-08,merchant,M002,Bags,Pouch,17.01,7.73
M002-BAC-09,merchant,M002,Bags,Backpack,79.23,43.6
M002-POU-10,merchant,M002,Bags,Pouch,16.25,7.32
M002-POU-11,merchant,M002,Bags,Pouch,16.06,6.84
M002-CUS-12,merchant,M002,Home,Cushion,44.8,24.86
M002-BAC-13,merchant,M002,Bags,Backpack,78.93,44.2
M002-BOT-14,merchant,M002,Drinkware,Bottle,34.63,17.64
M002-TUM-15,merchant,M002,Drinkware,Tumbler,38.15,20.28
M003-TUM-01,merchant,M003,Drinkware,Tumbler,41.07,22.04
M003-POU-02,merchant,M003,Bags,Pouch,13.66,6.39
M003-POS-03,merchant,M003,Home,Poster,25.62,10.85
M003-BAC-04,merchant,M003,Bags,Backpack,90.99,48.57
M003-BOT-05,merchant,M003,Drinkware,Bottle,32.76,17.55
M003-CUS-06,merchant,M003,Home,Cushion,46.35,26.24
M003-CAP-07,merchant,M003,Apparel,Cap,28.61,14.99
M003-HOO-08,merchant,M003,Apparel,Hoodie,63.0,33.44
M003-POU-09,merchant,M003,Bags,Pouch,13.31,5.87
M003-TUM-10,merchant,M003,Drinkware,Tumbler,41.76,20.77
M004-HOO-01,merchant,M004,Apparel,Hoodie,64.36,33.69
M004-STI-02,merchant,M004,Stationery,Sticker pack,9.5,3.79
M004-NOT-03,merchant,M004,Stationery,Notebook,14.94,7.77
M004-CUS-04,merchant,M004,Home,Cushion,44.74,24.82
M004-STI-05,merchant,M004,Stationery,Sticker pack,8.34,3.37
M005-POU-01,merchant,M005,Bags,Pouch,13.05,6.42
M005-TUM-02,merchant,M005,Drinkware,Tumbler,37.18,19.43
M005-HOO-03,merchant,M005,Apparel,Hoodie,62.99,34.43
M005-PEN-04,merchant,M005,Stationery,Pen set,10.79,4.34
M005-NOT-05,merchant,M005,Stationery,Notebook,17.04,8.34
M005-HOO-06,merchant,M005,Apparel,Hoodie,67.15,34.51
M005-STI-07,merchant,M005,Stationery,Sticker pack,8.45,3.13
M006-T-S-01,merchant,M006,Apparel,T-shirt,35.81,19.18
M006-POS-02,merchant,M006,Home,Poster,25.56,10.76
M006-NOT-03,merchant,M006,Stationery,Notebook,17.4,7.99
M006-TUM-04,merchant,M006,Drinkware,Tumbler,38.15,19.18
M006-TOT-05,merchant,M006,Bags,Tote,27.95,14.32
M006-STI-06,merchant,M006,Stationery,Sticker pack,8.89,3.1
M007-BLA-01,merchant,M007,Home,Blanket,82.55,44.26
M007-NOT-02,merchant,M007,Stationery,Notebook,16.87,8.64
M007-T-S-03,merchant,M007,Apparel,T-shirt,36.14,19.0
M007-T-S-04,merchant,M007,Apparel,T-shirt,30.27,16.09
M007-POS-05,merchant,M007,Home,Poster,27.19,10.49
M007-BLA-06,merchant,M007,Home,Blanket,85.88,46.15
M008-TUM-01,merchant,M008,Drinkware,Tumbler,35.49,18.01
M008-POU-02,merchant,M008,Bags,Pouch,16.85,8.09
M008-TUM-03,merchant,M008,Drinkware,Tumbler,32.35,16.97
M009-TOT-01,merchant,M009,Bags,Tote,29.91,15.76
M009-POS-02,merchant,M009,Home,Poster,28.18,11.09
M009-PEN-03,merchant,M009,Stationery,Pen set,10.95,5.13
M009-MUG-04,merchant,M009,Drinkware,Mug,18.26,8.63
M009-BLA-05,merchant,M009,Home,Blanket,85.8,48.01
M009-BLA-06,merchant,M009,Home,Blanket,74.63,40.13
M009-MUG-07,merchant,M009,Drinkware,Mug,20.28,10.32
M009-BAC-08,merchant,M009,Bags,Backpack,80.85,42.43
M010-MUG-01,merchant,M010,Drinkware,Mug,20.28,10.1
M010-NOT-02,merchant,M010,Stationery,Notebook,16.97,8.14
M010-HOO-03,merchant,M010,Apparel,Hoodie,77.18,39.45
M010-CAP-04,merchant,M010,Apparel,Cap,28.18,14.05
M010-MUG-05,merchant,M010,Drinkware,Mug,19.0,8.37
M010-POU-06,merchant,M010,Bags,Pouch,15.42,6.64
M010-T-S-07,merchant,M010,Apparel,T-shirt,30.62,15.07
M011-CUS-01,merchant,M011,Home,Cushion,40.61,22.77
M011-MUG-02,merchant,M011,Drinkware,Mug,18.05,7.8
M011-PEN-03,merchant,M011,Stationery,Pen set,13.15,5.7
M011-NOT-04,merchant,M011,Stationery,Notebook,16.51,7.76
M011-BLA-05,merchant,M011,Home,Blanket,84.95,48.23
M011-BAC-06,merchant,M011,Bags,Backpack,89.3,49.34
M011-BOT-07,merchant,M011,Drinkware,Bottle,31.49,16.2
M012-NOT-01,merchant,M012,Stationery,Notebook,19.02,8.55
M012-TUM-02,merchant,M012,Drinkware,Tumbler,35.4,17.88
M012-STI-03,merchant,M012,Stationery,Sticker pack,8.07,2.74
M012-POU-04,merchant,M012,Bags,Pouch,14.38,6.79
M012-POU-05,merchant,M012,Bags,Pouch,13.97,6.79
M012-HOO-06,merchant,M012,Apparel,Hoodie,60.21,34.22
M012-BOT-07,merchant,M012,Drinkware,Bottle,27.99,15.02
M012-TOT-08,merchant,M012,Bags,Tote,22.75,10.47
M012-POS-09,merchant,M012,Home,Poster,24.99,11.4
M013-CAP-01,merchant,M013,Apparel,Cap,21.72,11.01
M013-POU-02,merchant,M013,Bags,Pouch,16.87,7.97
M013-T-S-03,merchant,M013,Apparel,T-shirt,36.33,19.52
M013-TUM-04,merchant,M013,Drinkware,Tumbler,32.24,16.94
M014-BOT-01,merchant,M014,Drinkware,Bottle,32.0,17.42
M014-POS-02,merchant,M014,Home,Poster,30.93,12.76
M014-MUG-03,merchant,M014,Drinkware,Mug,19.02,9.55
M014-BLA-04,merchant,M014,Home,Blanket,85.03,46.75
M015-POS-01,merchant,M015,Home,Poster,24.85,10.81
M016-TOT-01,merchant,M016,Bags,Tote,27.5,12.38
M016-CUS-02,merchant,M016,Home,Cushion,41.59,22.81
M016-POS-03,merchant,M016,Home,Poster,26.39,10.84
M016-BLA-04,merchant,M016,Home,Blanket,87.27,50.2
M016-POU-05,merchant,M016,Bags,Pouch,14.3,5.95
M017-MUG-01,merchant,M017,Drinkware,Mug,20.69,9.84
M017-TUM-02,merchant,M017,Drinkware,Tumbler,40.81,22.36
M017-BOT-03,merchant,M017,Drinkware,Bottle,34.13,18.65
M017-NOT-04,merchant,M017,Stationery,Notebook,16.27,7.59
M017-CAP-05,merchant,M017,Apparel,Cap,25.51,12.09
M017-BAC-06,merchant,M017,Bags,Backpack,77.51,44.21
M017-T-S-07,merchant,M017,Apparel,T-shirt,37.17,19.16
M017-POU-08,merchant,M017,Bags,Pouch,15.0,6.81
