store_id,merchant_id,server_id,store_type,open_month,close_month
M001-ST1,M001,S03,pop-up,2020-09,
M002-ST1,M002,S01,web,2020-11,
M003-ST1,M003,S03,pop-up,2020-06,
M003-ST2,M003,S03,web,2021-08,
M004-ST1,M004,S02,web,2020-03,
M005-ST1,M005,S01,campus,2020-08,
M005-ST2,M005,S01,web,2020-11,
M006-ST1,M006,S06,web,2020-11,
M006-ST2,M006,S06,web,2021-07,
M007-ST1,M007,S04,web,2020-06,
M008-ST1,M008,S03,web,2020-03,
M008-ST2,M008,S03,corporate,2021-06,2023-12
M008-ST3,M008,S03,web,2021-01,
M009-ST1,M009,S05,web,2020-12,
M010-ST1,M010,S06,web,2020-09,
M011-ST1,M011,S01,pop-up,2020-10,
M012-ST1,M012,S05,campus,2020-09,
M013-ST1,M013,S02,web,2020-12,
M014-ST1,M014,S06,web,2020-11,
M014-ST2,M014,S06,web,2021-05,
M014-ST3,M014,S06,web,2021-05,
M014-ST4,M014,S06,web,2021-05,
M014-ST5,M014,S06,campus,2021-05,
M014-ST6,M014,S06,web,2021-07,
M015-ST1,M015,S03,web,2020-04,
M015-ST2,M015,S03,web,2020-08,
M015-ST3,M015,S03,web,2021-09,
M015-ST4,M015,S03,corporate,2020-04,
M016-ST1,M016,S03,campus,2020-07,
M017-ST1,M017,S04,web,2020-03,
M017-ST2,M017,S04,web,2020-07,
M017-ST3,M017,S04,web,2020-04,
M017-ST4,M017,S04,web,2021-08,
M017-ST5,M017,S04,pop-up,2021-06,
M017-ST6,M017,S04,campus,2021-06,
M018-ST1,M018,S04,corporate,2020-04,
M018-ST2,M018,S04,web,2020-10,
M018-ST3,M018,S04,web,2021-08,
M018-ST4,M018,S04,pop-up,2020-07,
M019-ST1,M019,S04,web,2020-07,
M020-ST1,M020,S01,corporate,2020-11,
M020-ST2,M020,S01,web,2021-10,
M020-ST3,M020,S01,web,2021-10,
M020-ST4,M020,S01,web,2020-11,
M020-ST5,M020,S01,campus,2021-10,
M020-ST6,M020,S01,corporate,2020-11,
M020-ST7,M020,S01,web,2020-12,
M021-ST1,M021,S02,corporate,2020-09,
M022-ST1,M022,S04,web,2020-08,
M022-ST2,M022,S04,corporate,2021-03,
M022-ST3,M022,S04,campus,2021-05,
M023-ST1,M023,S02,pop-up,2021-06,
M024-ST1,M024,S04,campus,2021-08,
M025-ST1,M025,S05,web,2021-02,2025-02
M026-ST1,M026,S07,corporate,2021-10,
M026-ST2,M026,S07,pop-up,2021-12,
M026-ST3,M026,S07,web,2022-09,
M026-ST4,M026,S07,web,2022-01,
M026-ST5,M026,S07,pop-up,2022-06,
M027-ST1,M027,S07,pop-up,2021-08,2026-06
M028-ST1,M028,S08,corporate,2021-03,2024-02
M028-ST2,M028,S08,web,2022-08,
M028-ST3,M028,S08,corporate,2021-05,
M028-ST4,M028,S08,corporate,2022-04,2024-02
M029-ST1,M029,S07,web,2021-04,
M030-ST1,M030,S03,corporate,2021-08,
M030-ST2,M030,S03,web,2022-01,
M030-ST3,M030,S03,corporate,2022-03,
M030-ST4,M030,S03,corporate,2022-01,2022-07
M030-ST5,M030,S03,web,2022-03,
M030-ST6,M030,S03,web,2022-03,
M030-ST7,M030,S03,web,2022-01,
M031-ST1,M031,S08,web,2021-12,
M031-ST2,M031,S08,corporate,2022-05,2024-05
M032-ST1,M032,S08,web,2021-05,2024-10
M033-ST1,M033,S08,web,2021-07,
M034-ST1,M034,S01,campus,2021-02,
M034-ST2,M034,S01,web,2021-12,
M034-ST3,M034,S01,campus,2022-07,2023-02
M034-ST4,M034,S01,web,2022-02,
M035-ST1,M035,S03,web,2021-05,
M036-ST1,M036,S04,pop-up,2021-12,
M037-ST1,M037,S06,web,2021-11,
M038-ST1,M038,S07,web,2021-07,
M039-ST1,M039,S06,web,2021-06,
M040-ST1,M040,S04,web,2021-06,
M040-ST2,M040,S04,campus,2022-08,
M040-ST3,M040,S04,pop-up,2021-08,
M041-ST1,M041,S07,web,2021-08,
M041-ST2,M041,S07,corporate,2022-02,
M041-ST3,M041,S07,web,2022-04,
M041-ST4,M041,S07,web,2022-10,
M041-ST5,M041,S07,web,2022-10,
M042-ST1,M042,S07,web,2021-11,
M043-ST1,M043,S03,pop-up,2021-09,
M043-ST2,M043,S03,pop-up,2022-10,
M043-ST3,M043,S03,web,2022-12,
M043-ST4,M043,S03,web,2022-10,
M044-ST1,M044,S07,web,2021-06,
M045-ST1,M045,S05,web,2021-12,2025-02
M046-ST1,M046,S08,web,2021-09,
M047-ST1,M047,S02,web,2021-11,2023-03
M048-ST1,M048,S03,pop-up,2021-10,2022-10
M049-ST1,M049,S08,pop-up,2021-11,2024-06
M049-ST2,M049,S08,web,2023-03,2024-06
M050-ST1,M050,S05,campus,2021-08,
M050-ST2,M050,S05,pop-up,2022-04,
M050-ST3,M050,S05,web,2021-08,2022-09
M050-ST4,M050,S05,web,2022-05,
M051-ST1,M051,S07,web,2021-04,
M052-ST1,M052,S05,campus,2021-11,
M053-ST1,M053,S01,web,2021-05,
M053-ST2,M053,S01,campus,2022-03,2022-10
M053-ST3,M053,S01,pop-up,2022-05,
M054-ST1,M054,S08,campus,2021-05,
M054-ST2,M054,S08,web,2022-08,2025-03
M054-ST3,M054,S08,campus,2021-06,
M054-ST4,M054,S08,web,2021-11,
M055-ST1,M055,S06,campus,2021-08,
M055-ST2,M055,S06,web,2021-09,
M055-ST3,M055,S06,web,2021-11,
M055-ST4,M055,S06,web,2021-12,
M056-ST1,M056,S07,web,2021-08,
M056-ST2,M056,S07,campus,2022-10,
M056-ST3,M056,S07,corporate,2021-08,
M056-ST4,M056,S07,web,2022-12,
M056-ST5,M056,S07,web,2022-01,
M056-ST6,M056,S07,campus,2022-04,
M057-ST1,M057,S07,web,2022-07,2025-02
M057-ST2,M057,S07,web,2023-12,2025-02
M057-ST3,M057,S07,web,2023-10,2025-02
M057-ST4,M057,S07,web,2022-12,
M058-ST1,M058,S08,web,2022-10,
M058-ST2,M058,S08,pop-up,2023-10,
M059-ST1,M059,S04,web,2022-02,
M059-ST2,M059,S04,web,2022-08,
M059-ST3,M059,S04,pop-up,2022-09,
M059-ST4,M059,S04,web,2022-02,
M060-ST1,M060,S09,web,2022-10,
M060-ST2,M060,S09,web,2023-03,
M060-ST3,M060,S09,web,2024-02,
M060-ST4,M060,S09,web,2022-11,
M061-ST1,M061,S07,campus,2022-06,
M062-ST1,M062,S08,corporate,2022-05,
M062-ST2,M062,S08,pop-up,2022-12,
M062-ST3,M062,S08,corporate,2022-12,
M062-ST4,M062,S08,web,2023-03,
M062-ST5,M062,S08,web,2022-12,
M062-ST6,M062,S08,pop-up,2022-07,2024-03
M062-ST7,M062,S08,campus,2023-01,
M062-ST8,M062,S08,web,2022-06,
M063-ST1,M063,S08,web,2022-09,2024-11
M064-ST1,M064,S04,web,2022-08,2023-11
M065-ST1,M065,S08,web,2022-07,
M066-ST1,M066,S08,web,2022-07,
M067-ST1,M067,S09,web,2022-06,
M068-ST1,M068,S08,web,2022-04,2024-06
M068-ST2,M068,S08,campus,2023-07,
M069-ST1,M069,S08,web,2022-04,
M070-ST1,M070,S05,pop-up,2022-12,
M071-ST1,M071,S07,web,2022-10,2026-09
M071-ST2,M071,S07,campus,2023-02,2026-09
M071-ST3,M071,S07,corporate,2023-10,
M071-ST4,M071,S07,corporate,2023-11,
M072-ST1,M072,S02,campus,2022-01,2023-07
M072-ST2,M072,S02,web,2022-08,2023-07
M073-ST1,M073,S08,web,2022-06,2025-03
M074-ST1,M074,S06,web,2022-11,
M074-ST2,M074,S06,web,2023-03,
M074-ST3,M074,S06,web,2023-09,
M074-ST4,M074,S06,campus,2023-04,
M074-ST5,M074,S06,web,2023-10,
M074-ST6,M074,S06,web,2024-02,
M074-ST7,M074,S06,campus,2023-02,
M074-ST8,M074,S06,corporate,2023-05,
M075-ST1,M075,S03,web,2022-01,2023-02
M076-ST1,M076,S07,campus,2022-12,2023-07
M077-ST1,M077,S08,web,2022-12,
M078-ST1,M078,S08,pop-up,2022-11,
M078-ST2,M078,S08,campus,2023-11,2026-09
M078-ST3,M078,S08,pop-up,2024-01,
M078-ST4,M078,S08,web,2024-02,
M079-ST1,M079,S06,corporate,2022-05,2022-09
M080-ST1,M080,S07,pop-up,2022-01,2024-10
M081-ST1,M081,S01,web,2022-12,
M081-ST2,M081,S01,corporate,2023-11,
M081-ST3,M081,S01,web,2023-12,
M081-ST4,M081,S01,pop-up,2024-02,
M081-ST5,M081,S01,campus,2022-12,
M081-ST6,M081,S01,pop-up,2023-03,
M081-ST7,M081,S01,web,2023-08,
M082-ST1,M082,S08,web,2022-01,
M083-ST1,M083,S01,web,2022-01,2022-06
M084-ST1,M084,S08,web,2022-08,
M084-ST2,M084,S08,campus,2022-09,
M084-ST4,M084,S08,web,2022-11,
M085-ST1,M085,S01,pop-up,2022-01,
M086-ST1,M086,S03,web,2022-10,
M086-ST2,M086,S03,web,2023-12,
M086-ST3,M086,S03,web,2023-12,
M086-ST4,M086,S03,corporate,2023-09,
M086-ST5,M086,S03,corporate,2023-01,
M086-ST6,M086,S03,web,2023-02,
M087-ST1,M087,S09,pop-up,2022-10,
M088-ST1,M088,S09,web,2022-08,2025-01
M088-ST2,M088,S09,web,2023-11,
M088-ST3,M088,S09,campus,2022-12,
M088-ST4,M088,S09,campus,2023-01,
M089-ST1,M089,S09,web,2022-12,
M089-ST2,M089,S09,web,2023-09,2025-03
M090-ST1,M090,S07,corporate,2022-05,
M090-ST2,M090,S07,web,2023-05,2025-11
M090-ST3,M090,S07,campus,2023-04,
M090-ST4,M090,S07,corporate,2023-06,
M091-ST1,M091,S03,web,2022-04,
M091-ST2,M091,S03,web,2022-10,
M092-ST1,M092,S04,campus,2022-02,
M093-ST1,M093,S09,web,2022-07,2024-06
M094-ST1,M094,S09,web,2022-10,
M094-ST2,M094,S09,corporate,2023-11,2025-03
M094-ST3,M094,S09,corporate,2023-01,2025-03
M094-ST4,M094,S09,campus,2023-02,
M094-ST5,M094,S09,pop-up,2022-10,2025-03
M094-ST6,M094,S09,pop-up,2023-12,2025-03
M095-ST1,M095,S07,web,2023-06,2025-07
M095-ST2,M095,S07,corporate,2023-08,
M096-ST1,M096,S09,web,2023-02,2025-02
M097-ST1,M097,S08,web,2023-01,
M097-ST2,M097,S08,web,2024-03,
M097-ST3,M097,S08,pop-up,2024-05,
M097-ST4,M097,S08,web,2023-11,
M097-ST5,M097,S08,pop-up,2024-02,
M097-ST6,M097,S08,pop-up,2024-04,
M098-ST1,M098,S03,web,2023-03,
M099-ST1,M099,S05,campus,2023-07,
M100-ST1,M100,S07,web,2023-07,
M101-ST1,M101,S09,web,2023-02,
M101-ST2,M101,S09,pop-up,2024-06,
M101-ST3,M101,S09,campus,2023-10,
M101-ST4,M101,S09,corporate,2024-07,2026-09
M101-ST5,M101,S09,corporate,2023-10,
M101-ST6,M101,S09,web,2024-06,2026-09
M102-ST1,M102,S02,campus,2023-06,2026-04
M102-ST2,M102,S02,web,2023-12,
M102-ST3,M102,S02,web,2023-09,
M102-ST4,M102,S02,corporate,2024-06,
M102-ST5,M102,S02,campus,2023-10,
M102-ST6,M102,S02,campus,2024-02,
M102-ST7,M102,S02,pop-up,2023-11,
M103-ST1,M103,S03,corporate,2023-11,2026-08
M103-ST2,M103,S03,web,2024-08,
M103-ST3,M103,S03,web,2024-02,
M104-ST1,M104,S08,web,2023-12,
M104-ST2,M104,S08,campus,2025-01,
M104-ST3,M104,S08,web,2025-02,
M104-ST4,M104,S08,pop-up,2024-04,
M105-ST1,M105,S07,web,2023-10,
M105-ST2,M105,S07,campus,2024-05,
M105-ST3,M105,S07,corporate,2025-02,
M105-ST4,M105,S07,pop-up,2024-03,2026-03
M105-ST5,M105,S07,web,2024-07,2026-03
M106-ST1,M106,S07,campus,2023-01,
M107-ST1,M107,S07,campus,2023-01,2025-01
M107-ST2,M107,S07,web,2024-01,
M107-ST3,M107,S07,web,2023-01,
M107-ST4,M107,S07,campus,2023-05,2025-01
M107-ST5,M107,S07,web,2024-04,2025-01
M107-ST6,M107,S07,web,2023-08,
M108-ST1,M108,S06,pop-up,2023-06,
M108-ST2,M108,S06,pop-up,2023-08,
M109-ST1,M109,S08,campus,2023-05,
M110-ST1,M110,S05,campus,2023-05,
M111-ST1,M111,S08,web,2023-04,
M112-ST1,M112,S02,campus,2023-01,
M113-ST1,M113,S07,campus,2023-07,
M113-ST2,M113,S07,web,2024-08,
M113-ST3,M113,S07,corporate,2024-03,
M113-ST4,M113,S07,web,2024-01,
M113-ST5,M113,S07,web,2024-09,
M113-ST6,M113,S07,web,2023-10,
M114-ST1,M114,S05,corporate,2023-09,
M114-ST2,M114,S05,web,2023-09,
M115-ST1,M115,S09,web,2023-11,
M116-ST1,M116,S09,web,2023-11,
M116-ST2,M116,S09,pop-up,2024-11,
