,fact_transaction,fact_login,dim_promotion,dim_customer (signups),dim_merchant (onboardings),dim_store (openings),known_events
2020-01,0,0,0,0,0,0,0
2020-02,0,0,0,0,0,0,0
2020-03,0,0,0,0,3,3,0
2020-04,23,0,0,14,2,4,1
2020-05,45,0,0,20,0,0,0
2020-06,79,0,0,42,2,2,0
2020-07,88,0,0,43,2,4,0
2020-08,124,0,0,56,2,3,0
2020-09,167,0,0,67,4,4,0
2020-10,236,0,0,102,1,2,0
2020-11,371,0,0,139,4,7,0
2020-12,505,0,0,181,2,3,0
2021-01,228,0,0,74,0,1,0
2021-02,194,0,0,74,2,2,1
2021-03,314,0,0,114,1,2,1
2021-04,401,0,0,144,2,2,0
2021-05,478,0,0,153,4,10,0
2021-06,433,0,0,145,4,8,0
2021-07,481,0,0,159,2,4,0
2021-08,690,0,0,236,7,13,0
2021-09,733,0,0,258,2,4,0
2021-10,917,0,0,338,2,5,0
2021-11,1255,0,0,419,5,7,0
2021-12,1829,0,0,653,3,6,0
2022-01,1016,0,0,316,6,11,0
2022-02,995,0,0,348,2,5,0
2022-03,1344,0,0,435,0,4,0
2022-04,1503,0,0,484,3,7,0
2022-05,1715,0,0,573,3,6,0
2022-06,1846,0,0,567,3,5,1
2022-07,1765,0,0,523,4,6,0
2022-08,1892,0,0,537,3,8,0
2022-09,2136,0,0,628,1,4,0
2022-10,2540,0,0,681,6,13,0
2022-11,3293,0,0,886,2,4,0
2022-12,3923,0,0,1041,5,13,0
2023-01,2086,0,0,512,4,9,0
2023-02,2118,0,0,549,2,6,0
2023-03,2554,0,0,678,1,6,0
2023-04,2717,0,0,727,1,3,0
2023-05,3167,0,0,832,2,5,0
2023-06,3158,0,0,820,4,5,0
2023-07,3363,0,0,846,3,4,0
2023-08,3657,0,0,929,1,5,0
2023-09,3744,0,0,905,1,6,0
2023-10,4334,0,0,1036,1,9,0
2023-11,6021,0,0,1474,3,10,1
2023-12,6684,0,0,1656,1,7,0
2024-01,3571,0,0,854,1,5,0
2024-02,3298,0,0,742,2,9,0
2024-03,4311,0,0,961,1,4,1
2024-04,4454,0,0,1077,3,6,0
2024-05,4766,0,0,1137,0,3,0
2024-06,4594,0,0,1058,1,5,1
2024-07,4851,0,0,1092,0,3,0
2024-08,5133,0,0,1152,1,4,0
2024-09,4739,0,0,1160,0,2,0
2024-10,5453,0,0,1356,1,3,0
2024-11,7229,0,0,1711,2,3,0
2024-12,8279,0,0,1935,0,1,0
2025-01,4634,0,5,1024,0,2,1
2025-02,4108,0,3,865,0,5,0
2025-03,4928,0,12,1040,1,2,0
2025-04,5094,0,2,1093,1,1,0
2025-05,5162,0,2,1038,0,1,0
2025-06,5077,0,5,1079,1,3,0
2025-07,5257,0,3,1072,0,1,0
2025-08,5390,0,5,1107,1,2,0
2025-09,5599,0,6,1148,0,0,0
2025-10,6281,0,5,1348,1,1,0
2025-11,7956,0,5,1631,3,4,0
2025-12,9057,0,9,1806,0,0,0
2026-01,4822,0,5,969,0,0,0
2026-02,4260,0,8,839,1,2,0
2026-03,5248,0,9,1073,0,0,0
2026-04,5317,0,2,1085,0,0,0
2026-05,5620,0,5,1101,0,0,0
2026-06,5604,0,5,1096,0,2,0
2026-07,5664,45005,3,1088,0,0,1
2026-08,5995,44722,5,1134,1,4,0
2026-09,1183,10188,5,1171,0,7,0
