server_id,year,revenue,profit,orders,margin
S01,2020,3683.3,1399.14,43,0.38
S01,2021,79232.52,31933.26,887,0.403
S01,2022,195984.25,80675.37,2250,0.412
S01,2023,311629.09,130245.01,3461,0.418
S01,2024,439006.26,183787.52,4802,0.419
S01,2025,509484.13,214088.6,5672,0.42
S01,2026,325311.51,137892.28,3499,0.424
S02,2020,3708.03,1462.67,46,0.394
S02,2021,10631.06,4477.02,141,0.421
S02,2022,23031.04,9748.74,286,0.423
S02,2023,41851.3,17872.27,524,0.427
S02,2024,126709.78,52685.22,1523,0.416
S02,2025,214110.99,88464.95,2341,0.413
S02,2026,157458.15,66973.31,1740,0.425
S03,2020,28793.48,11337.43,357,0.394
S03,2021,78234.31,31558.27,950,0.403
S03,2022,210897.56,86829.65,2431,0.412
S03,2023,371445.7,154858.36,4334,0.417
S03,2024,497046.94,208509.23,5760,0.419
S03,2025,589103.6,248479.03,6803,0.422
S03,2026,373165.35,158428.67,4189,0.425
S04,2020,41338.75,17219.43,468,0.417
S04,2021,122726.37,52339.56,1499,0.426
S04,2022,279515.3,118503.2,3125,0.424
S04,2023,356281.58,152655.04,4126,0.428
S04,2024,367954.69,157839.54,4223,0.429
S04,2025,369587.21,158512.37,4295,0.429
S04,2026,222308.23,95505.24,2496,0.43
S05,2020,1030.52,369.44,11,0.358
S05,2021,8642.17,3342.08,115,0.387
S05,2022,36220.05,15099.06,464,0.417
S05,2023,54918.66,22402.17,628,0.408
S05,2024,88461.04,36163.94,1000,0.409
S05,2025,112380.45,45620.19,1256,0.406
S05,2026,71297.36,29496.18,839,0.414
S06,2020,2797.16,1158.2,31,0.414
S06,2021,54975.59,22891.35,611,0.416
S06,2022,179130.64,75259.25,2017,0.42
S06,2023,282396.43,118253.47,3300,0.419
S06,2024,412110.12,170872.19,4669,0.415
S06,2025,476416.18,197807.56,5446,0.415
S06,2026,325944.05,135910.33,3586,0.417
S07,2021,23866.8,9852.27,296,0.413
S07,2022,180596.53,76564.63,2249,0.424
S07,2023,384550.73,162835.48,4603,0.423
S07,2024,507820.75,157039.7,5840,0.309
S07,2025,436407.3,124542.17,4818,0.285
S07,2026,233947.87,68032.62,2612,0.291
S08,2021,16836.97,6652.41,185,0.395
S08,2022,100347.46,42342.09,1143,0.422
S08,2023,301827.52,127391.13,3378,0.422
S08,2024,376543.54,120970.47,3931,0.321
S08,2025,328997.66,99672.17,3267,0.303
S08,2026,193036.58,59560.17,1949,0.309
S09,2022,2398.61,910.58,36,0.38
S09,2023,93050.25,37453.25,1148,0.403
S09,2024,297301.84,122257.47,3641,0.411
S09,2025,408469.26,171184.94,5004,0.419
S09,2026,244263.19,103982.74,2940,0.426
S10,2024,18951.85,7786.63,191,0.411
S10,2025,102315.63,43585.8,1132,0.426
S10,2026,90743.51,39069.88,1033,0.431
