product_line_x,product_line_y,n,support,conf_x_to_y,lift
Notebook,Sticker pack,1692,0.011617687448503158,0.1421012849584278,1.538136836963614
Pen set,Sticker pack,1841,0.012640758033507279,0.13750093360221077,1.4883415808120384
Cushion,Poster,2180,0.014968415270530075,0.14382793428778784,1.3875927629619385
T-shirt,Tote,2687,0.01844960175775886,0.12107966834895457,1.1217584540929861
Mug,T-shirt,2802,0.019239219994507003,0.16994177583697234,1.115281192902697
Notebook,Pen set,925,0.006351277121669871,0.0776853951457126,0.8450295727105522
Bottle,Cushion,1457,0.010004119747322165,0.08341921447383488,0.801555347098325
Blanket,T-shirt,1838,0.012620159296896458,0.12158497056294239,0.7979287631933546
Backpack,Pouch,1678,0.011521560010985993,0.1013591060102688,0.7932262331722487
Bottle,Poster,1427,0.009798132381213952,0.08170159166380396,0.7882233578376
Bottle,Cap,1450,0.009956056028563582,0.083018435818161,0.7817162340826901
Pouch,Tote,1565,0.010745674265311728,0.08409457281031704,0.779105189827899
Backpack,Bottle,1546,0.01061521560010986,0.09338568408335851,0.7786952381713232
Pouch,Tumbler,1633,0.011212578961823675,0.0877485222998388,0.7746208502696401
Pen set,Tumbler,1169,0.00802664103268333,0.08731047875121369,0.7707539171612777
Hoodie,Sticker pack,1208,0.008294424608624005,0.07100452595074355,0.7685692426210546
Pen set,Pouch,1295,0.008891787970337819,0.09672118903577563,0.7569303584723462
Notebook,Tumbler,1019,0.0069967042021422685,0.08557991097673637,0.7554769205147222
Cushion,Hoodie,1337,0.009180170282889316,0.08821006795540014,0.7551233937003747
Hoodie,Tumbler,1455,0.009990387256248283,0.08552283547875153,0.7549730730467555
Hoodie,Poster,1331,0.009138972809667674,0.07823429142420502,0.7547722710003456
Backpack,Cap,1323,0.009084042845372151,0.07991543340380551,0.752497816055488
Cap,T-shirt,1772,0.01216698709145839,0.11456649641171526,0.7518684452686648
Blanket,Mug,1277,0.008768195550672892,0.08447443275782232,0.7461703291393281
T-shirt,Tumbler,1871,0.01284674539961549,0.08430966113914923,0.7442634894111828
Backpack,Cushion,1277,0.008768195550672892,0.0771368166717004,0.7411892841635183
Hoodie,T-shirt,1920,0.01318319143092557,0.11285487568330099,0.740635548599313
Backpack,T-shirt,1866,0.012812414171930788,0.11271519178495923,0.7397188415447666
Cushion,T-shirt,1701,0.011679483658335621,0.11222537441446195,0.7365043046918817
Backpack,Tumbler,1376,0.009447953858829992,0.08311688311688312,0.7337339590946089
Pen set,T-shirt,1496,0.01027190332326284,0.11173351258495781,0.7332763506161344
Backpack,Mug,1371,0.00941362263114529,0.08281485955904562,0.7315111684970526
Blanket,Tumbler,1251,0.008589673166712442,0.08275451478467949,0.7305350668711796
Cap,Pouch,1438,0.009873661082120297,0.09297213422124523,0.727590630197859
Backpack,Blanket,1249,0.008575940675638561,0.07544548474781033,0.726855884016081
Backpack,Tote,1298,0.00891238670694864,0.07840531561461794,0.726396320999552
Backpack,Pen set,1104,0.007580335072782203,0.06668680157052251,0.7253914243581222
Cushion,Pen set,1007,0.006914309255698984,0.06643794946229466,0.7226845141301511
Cushion,Pouch,1399,0.009605877506179621,0.09230058718743815,0.7223351702299029
Pen set,Tote,1042,0.007154627849491898,0.07782508028979013,0.7210206547967579
Blanket,Cushion,1133,0.007779456193353474,0.07494873321426208,0.7201645117981876
Blanket,Cap,1156,0.007937379840703104,0.07647019911358073,0.7200568823237795
Mug,Notebook,968,0.006646525679758308,0.05870936438622028,0.7181012706146906
Tote,Tumbler,1275,0.008754463059599012,0.08110687022900764,0.7159900945661699
Blanket,Bottle,1298,0.00891238670694864,0.0858635972745915,0.715972421107953
Cap,Hoodie,1291,0.008864322988190058,0.08346802870627788,0.7145291071993364
Blanket,Pen set,991,0.006804449327107938,0.06555533505325131,0.7130837999219898
Bottle,Sticker pack,1150,0.007896182367481462,0.06584220771785183,0.7126911283558484
Cap,Tumbler,1246,0.00855534193902774,0.08055860865067563,0.7111501857124742
Bottle,Hoodie,1450,0.009956056028563582,0.083018435818161,0.7106803616385686
Blanket,Hoodie,1254,0.008610271903323263,0.08295296685850366,0.7101199137878371
Cushion,Tote,1161,0.007971711068387805,0.07659827142574388,0.7096547233107722
Cap,Sticker pack,1014,0.006962372974457566,0.0655589319195707,0.7096248862702546
Pouch,T-shirt,1997,0.013711892337269981,0.10730789897904353,0.7042322642081785
Hoodie,Pen set,1098,0.0075391375995605605,0.06453888203138776,0.7020272446822999
Cap,Poster,1122,0.00770392749244713,0.0725415400530161,0.6998509468283827
Blanket,Sticker pack,977,0.0067083218895907714,0.06462922537540516,0.6995615298159797
Sticker pack,T-shirt,1431,0.009825597363361714,0.10635451505016723,0.697975467371411
Cap,Tote,1165,0.007999176050535567,0.07532165255059158,0.6978273204496283
Bottle,Pouch,1556,0.010683878055479264,0.08908736974693691,0.6971888516896234
Hoodie,Pouch,1511,0.010374897006316946,0.08881443601951448,0.6950528996175223
Mug,Pouch,1464,0.010052183466080748,0.08879184861717614,0.6948761328643489
Bottle,T-shirt,1849,0.012695687997802801,0.1058628191915722,0.6947486025171492
Blanket,Pouch,1342,0.009214501510574019,0.08877422769067937,0.6947382332547309
Pen set,Poster,964,0.006619060697610547,0.07199940249458511,0.6946206266104514
Sticker pack,Tumbler,1053,0.007230156550398242,0.07826086956521738,0.6908663500714184
Bottle,Pen set,1108,0.007607800054929965,0.06343753578380855,0.6900472560724383
Notebook,Pouch,1041,0.007147761603954957,0.0874275636180398,0.6841993748162987
Bottle,Mug,1348,0.009255698983795661,0.07717851826405589,0.6817248544382034
Backpack,Poster,1169,0.00802664103268333,0.07061310782241015,0.6812462257058701
Cap,Cushion,1092,0.007497940126338918,0.0706019266826146,0.6783970839912905
Blanket,Tote,1106,0.007594067563856084,0.07316266454984455,0.6778250931958879
Bottle,Tumbler,1341,0.009207635265037078,0.076777739608382,0.6777736693274794
Cushion,Sticker pack,946,0.0064954682779456195,0.06241340634690242,0.6755769974257056
Mug,Pen set,1023,0.0070241691842900305,0.062045123726346435,0.6749011740611767
Cushion,Tumbler,1153,0.007916781104092283,0.07607046249257769,0.6715300131785075
Blanket,Poster,1045,0.007175226586102719,0.06912747238208639,0.6669134259225664
Cap,Notebook,842,0.005781378742103818,0.05443848192926876,0.6658621406045774
Cap,Mug,1165,0.007999176050535567,0.07532165255059158,0.6653229911128188
Bottle,Tote,1251,0.008589673166712442,0.07162487117828925,0.663578004987662
Hoodie,Tote,1214,0.008335622081845647,0.07135719743725387,0.6610981065370007
Poster,Pouch,1271,0.00872699807745125,0.08419448860625332,0.6588976529078309
Hoodie,Notebook,916,0.006289480911837408,0.05384118027390819,0.6585562690091533
Cushion,Mug,1128,0.007745124965668772,0.07442105957643333,0.6573679716588883
Poster,T-shirt,1509,0.010361164515243064,0.09996025437201908,0.6560116910031027
Mug,Tumbler,1222,0.00839055204614117,0.07411450752062106,0.6542633576980998
Notebook,T-shirt,1186,0.008143367206811315,0.0996052742084488,0.6536820537003641
Cap,Pen set,927,0.006365009612743752,0.05993405314540635,0.6519378221000061
Poster,Tote,1052,0.007223290304861302,0.06968733439321675,0.645627441541227
Backpack,Hoodie,1242,0.008527876956879978,0.07502265176683781,0.6422323519263069
Backpack,Sticker pack,979,0.0067220543806646525,0.05913621262458472,0.6401039023890389
Pouch,Sticker pack,1098,0.0075391375995605605,0.059000537345513165,0.6386353221107794
Notebook,Tote,814,0.005589123867069486,0.06836314772822709,0.6333593406576967
Mug,Poster,1065,0.007312551496841527,0.06459243085880641,0.6231612102726923
Mug,Tote,1103,0.007573468827245263,0.06689713731198448,0.6197772950456373
Mug,Sticker pack,937,0.006433672068113155,0.05682920912178554,0.615132368375834
Bottle,Notebook,877,0.006021697335896732,0.05021184014657048,0.6141641386534412
Blanket,Notebook,752,0.0051634166437791815,0.04974531983859231,0.6084579139407562
Poster,Tumbler,1039,0.007134029112881077,0.06882617912029677,0.6075793870214585
Cushion,Notebook,752,0.0051634166437791815,0.049614039717622224,0.6068521663285883
Poster,Sticker pack,835,0.005733315023345235,0.05531266560678325,0.5987169542156755
Backpack,Notebook,803,0.005513595166163142,0.04850498338870432,0.5932867876653142
Hoodie,Mug,1139,0.007820653666575117,0.06694880385587491,0.5913648589016025
Sticker pack,Tote,829,0.0056921175501235925,0.06161278335191379,0.5708197053036084
Notebook,Poster,704,0.004833836858006042,0.059124884521709914,0.570412571657514
