server_id,year,hhi,top5 share %,merchants
S01,2020,5827.0,100.0,2.0
S01,2021,4376.2,98.8,6.0
S01,2022,4649.2,99.0,8.0
S01,2023,3606.0,98.3,9.0
S01,2024,3085.1,97.5,9.0
S01,2025,3091.3,98.2,7.0
S01,2026,3091.6,98.4,7.0
S02,2020,9425.3,100.0,2.0
S02,2021,4702.9,100.0,5.0
S02,2022,2112.9,97.9,6.0
S02,2023,1719.2,86.3,8.0
S02,2024,5095.4,96.1,8.0
S02,2025,5247.9,96.7,12.0
S02,2026,4436.3,91.8,12.0
S03,2020,3410.9,100.0,5.0
S03,2021,2564.1,95.5,9.0
S03,2022,1640.1,80.2,12.0
S03,2023,1631.6,75.5,14.0
S03,2024,1588.8,76.0,17.0
S03,2025,1471.7,73.1,19.0
S03,2026,1412.9,70.4,18.0
S04,2020,5018.6,100.0,5.0
S04,2021,3790.8,99.0,8.0
S04,2022,2764.7,92.5,11.0
S04,2023,2496.3,93.7,11.0
S04,2024,2598.1,93.2,11.0
S04,2025,2931.5,94.4,10.0
S04,2026,2995.0,95.7,10.0
S05,2020,10000.0,100.0,1.0
S05,2021,2876.4,100.0,4.0
S05,2022,1966.1,90.8,6.0
S05,2023,1277.7,73.5,10.0
S05,2024,1111.3,61.6,11.0
S05,2025,1223.6,66.7,12.0
S05,2026,1425.9,74.1,12.0
S06,2020,5326.3,100.0,2.0
S06,2021,5322.8,100.0,5.0
S06,2022,4314.6,97.1,7.0
S06,2023,3246.9,93.5,8.0
S06,2024,2799.4,94.8,8.0
S06,2025,2790.8,96.2,9.0
S06,2026,2794.0,94.3,9.0
S07,2021,2304.0,95.6,8.0
S07,2022,2153.7,88.0,14.0
S07,2023,1853.0,82.3,20.0
S07,2024,1195.0,71.1,22.0
S07,2025,1126.4,68.2,20.0
S07,2026,1329.5,75.9,19.0
S08,2021,4939.2,100.0,4.0
S08,2022,2246.5,87.0,17.0
S08,2023,1573.3,73.7,22.0
S08,2024,1570.0,72.7,23.0
S08,2025,2202.6,82.6,22.0
S08,2026,2103.4,83.4,20.0
S09,2022,4608.4,100.0,3.0
S09,2023,1834.3,84.7,11.0
S09,2024,1797.2,84.8,11.0
S09,2025,1799.8,88.9,11.0
S09,2026,2163.5,89.9,11.0
S10,2024,3656.8,100.0,5.0
S10,2025,2500.9,94.1,7.0
S10,2026,2229.3,94.3,7.0
