cohort,0,1,2,3,4,5,6
2021Q2,1.0,0.25,0.5,0.0,0.0,0.25,0.0
2021Q3,1.0,0.4,0.257,0.2,0.157,0.157,0.043
2021Q4,1.0,0.209,0.233,0.233,0.268,0.087,0.122
2022Q1,1.0,0.247,0.255,0.273,0.146,0.142,0.139
2022Q2,1.0,0.267,0.309,0.176,0.174,0.137,0.168
2022Q3,1.0,0.355,0.204,0.223,0.207,0.228,0.114
2022Q4,1.0,0.242,0.258,0.229,0.223,0.122,0.114
2023Q1,1.0,0.279,0.286,0.303,0.178,0.175,0.123
2023Q2,1.0,0.298,0.344,0.186,0.179,0.15,0.096
2023Q3,1.0,0.403,0.193,0.194,0.17,0.133,0.072
2023Q4,1.0,0.247,0.25,0.203,0.166,0.082,0.083
2024Q1,1.0,0.294,0.224,0.186,0.096,0.077,0.081
2024Q2,1.0,0.242,0.22,0.13,0.111,0.097,0.109
2024Q3,1.0,0.24,0.139,0.11,0.097,0.114,0.076
2024Q4,1.0,0.176,0.168,0.133,0.15,0.089,0.077
2025Q1,1.0,0.185,0.157,0.182,0.083,0.09,
2025Q2,1.0,0.177,0.198,0.109,0.095,,
2025Q3,1.0,0.229,0.14,0.125,,,
2025Q4,1.0,0.157,0.129,,,,
2026Q1,1.0,0.175,,,,,
2026Q2,1.0,,,,,,
2026Q3,,,,,,,
