cohort,0,1,2,3,4,5,6
2020Q2,1.0,0.384,0.384,0.151,0.123,0.164,0.151
2020Q3,1.0,0.444,0.167,0.204,0.278,0.216,0.111
2020Q4,1.0,0.224,0.255,0.217,0.209,0.102,0.107
2021Q1,1.0,0.275,0.255,0.259,0.141,0.122,0.106
2021Q2,1.0,0.289,0.319,0.188,0.167,0.139,0.178
2021Q3,1.0,0.349,0.174,0.194,0.183,0.157,0.112
2021Q4,1.0,0.233,0.236,0.181,0.244,0.13,0.123
2022Q1,1.0,0.27,0.252,0.257,0.113,0.131,0.131
2022Q2,1.0,0.276,0.317,0.163,0.173,0.132,0.177
2022Q3,1.0,0.373,0.207,0.214,0.169,0.191,0.097
2022Q4,1.0,0.247,0.217,0.212,0.232,0.128,0.116
2023Q1,1.0,0.286,0.248,0.276,0.153,0.151,0.12
2023Q2,1.0,0.29,0.309,0.166,0.169,0.141,0.162
2023Q3,1.0,0.374,0.21,0.193,0.177,0.198,0.104
2023Q4,1.0,0.246,0.231,0.202,0.229,0.123,0.119
2024Q1,1.0,0.261,0.236,0.275,0.152,0.146,0.121
2024Q2,1.0,0.291,0.305,0.173,0.169,0.148,0.176
2024Q3,1.0,0.354,0.2,0.185,0.175,0.197,0.107
2024Q4,1.0,0.242,0.233,0.214,0.238,0.12,0.118
2025Q1,1.0,0.282,0.237,0.268,0.131,0.144,
2025Q2,1.0,0.288,0.316,0.167,0.175,,
2025Q3,1.0,0.367,0.193,0.195,,,
2025Q4,1.0,0.233,0.229,,,,
2026Q1,1.0,0.265,,,,,
2026Q2,1.0,,,,,,
2026Q3,,,,,,,
